StudentId,FirstName,LastName,School,Age
1,Tom,Max,Nursing,24
2,Ann,Fay,Mining,21
3,Joe,Sun,Nursing,27
4,Sue,Fox,Computing,22
5,Ben,Ray,Mining,25
6,Zoe,Cox,Business,20
7,Sam,Ray,Mining,23
8,Dan,Ash,Medicine,26
9,Pat,Lee,Computing,19
10,Kim,Day,Nursing,28
11,Tim,Rex,Computing,21
12,Rob,Ram,Nursing,24
13,Jan,Fry,Mining,22
14,Jim,Tex,Nursing,27
15,Ben,Kid,Business,25
16,Mia,Chu,Medicine,20
17,Ted,Tao,Computing,23
18,Amy,Day,Nursing,26
19,Ian,Roy,Nursing,19
20,Liz,Kit,Nursing,28
21,Mat,Tan,Medicine,21
22,Deb,Roy,Medicine,24
23,Ana,Ray,Mining,22
24,Lyn,Poe,Computing,27
25,Amy,Raj,Nursing,25
26,Kim,Ash,Mining,20
27,Bec,Kid,Nursing,23
28,Eva,Fry,Computing,26
29,Eli,Lap,Business,19
30,Sam,Yim,Nursing,28
31,Joe,Hui,Mining,21
32,Liz,Jin,Nursing,24
33,Ric,Kuo,Business,22
34,Pam,Mak,Computing,27
35,Cat,Yao,Medicine,25
36,Lou,Zhu,Mining,20
37,Tom,Dag,Business,23
38,Stu,Day,Business,26
39,Tom,Gad,Mining,19
40,Bob,Bee,Business,28
41,Jim,Ots,Business,21
42,Tom,Mag,Business,24
43,Hal,Doe,Mining,22
44,Roy,Kim,Mining,27
45,Vis,Cox,Nursing,25
46,Kay,Aga,Nursing,20
47,Reo,Hui,Nursing,23
48,Bob,Roe,Mining,26
49,Jay,Eff,Computing,19
50,Eva,Chu,Business,28
51,Lex,Rae,Nursing,21
52,Lin,Dex,Mining,24
53,Tom,Dag,Business,22
54,Ben,Shy,Computing,27
55,Rob,Bos,Nursing,25
56,Ali,Mac,Business,20
57,Edi,Gee,Computing,23
58,Eva,Cao,Mining,26
59,Jun,Lam,Computing,19
60,Eli,Tao,Computing,28
61,Ana,Bay,Computing,21
62,Gil,Tal,Mining,24
63,Wes,Dey,Nursing,22
64,Nea,Tan,Computing,27
65,Ava,Day,Nursing,25
66,Rie,Ray,Business,20
67,Ken,Sim,Nursing,23
